question,response
What documentation is required for shipping dangerous goods with CHERRY shipping line in Japan?,"For dangerous goods shipments to Japan with CHERRY, a Dangerous Goods Declaration (in Japanese) and Safety Data Sheets (SDS) in Japanese are mandatory."
What tax identification information is required for consignees located in Kenya when shipping with CHERRY?,"Kenyan consignees must provide their 11-alphanumeric customs PIN number (e.g., P051136562B) in the address."
Does Indonesia have any import restrictions on used clothing?,"Yes, Indonesia restricts the import of used clothing."
What are the emission standards that new vehicles must comply with when imported into Indonesia?,New vehicles imported into Indonesia must comply with Indonesian emission standards and obtain approval from the Ministry of Industry.
"Does CHERRY shipping line accept shipments of tobacco, alcoholic beverages, or veterinary goods?","No, CHERRY shipping line does not accept shipments of tobacco, alcoholic beverages, or veterinary goods."
What information is required from Japan-based shippers when shipping with CHERRY?,"Japan-based shippers must provide their full name, complete address, phone number, email address, and Japanese Corporate Number."
What documentation is required for shipping dangerous goods with CHERRY shipping line to Turkey?,A Dangerous Goods Declaration (in Turkish and English) and a Safety Data Sheet (SDS) in Turkish and English are required.
What are the import restrictions on plastic scraps in Taiwan?,The Environmental Protection Administration of Taiwan (EPA) has published import restrictions on plastic scraps. Only factories registered with the Taiwan Government Authority are permitted to import them. Any violation results in the cargo being returned to its origin and penalties imposed by the authorities.
[Your generated question],"[Your generated answer]


Text: 1 Payment Terms • Both prepaid and collect shipments accepted • For reefer imports:  o Sea freight & associated charges o All origin local charges must be prepaid • For general imports, DLF, CGD, TAD must follow as per SEA freight term, while destination charges like EMF, DDF, THD, RLB LCD, DGD with currency THB can be set as collect 42 Demurrage and Detention • Free time for import cargo: 5 calendar days from discharge • Free time for export cargo: 7 calendar days before vessel ETD • Demurrage charges after free time (per day):  o 20' Dry Container: USD 25 (Days 1-5), USD 50 (Days 6-10), USD 75 (Day 11 onwards) o 40' Dry Container: USD 50 (Days 1-5), USD 100 (Days 6-10), USD 150 (Day 11 onwards) o 20'/40' Reefer Container: USD 75 (Days 1-5), USD 150 (Days 6-10), USD 225 (Day 11 onwards) • Detention charges apply as per CHERRY's standard tariff 5. Special Requirements 5. [/INST]

Question: What are the demurrage charges for a 40' dry container in Thailand after the initial free time of 7 days has been exceeded?
Answer: For a 40' dry container, demurrage charges are USD 50 per day for days 6-10 and USD 150 per day from day 11 onwards."
What are the specific requirements for shipping dangerous goods through Dutch ports with CHERRY shipping line?,"When shipping dangerous goods through Dutch ports with CHERRY, you must provide advance notification to port authorities 24 hours before arrival, submit a Vessel Stow Plan 24 hours prior to arrival, and adhere to specific storage and segregation requirements as per EU and Dutch regulations."
Can I use an electronic bill of lading (e-B/L) for shipments to Qatar?,"Yes, e-B/Ls are accepted for shipments to Qatar, subject to compliance with Qatar's electronic transaction laws."
What documentation is required for shipments of dangerous goods to Thailand by CHERRY shipping line?,"Shipments of dangerous goods to Thailand require a Dangerous Goods Declaration, a Safety Data Sheet (SDS), and must adhere to IMDG regulations and Thai regulations on dangerous goods."
What is the document cut-off time for an Original Bill of Lading for a shipment arriving at St. ?,"The document cut-off time for an Original Bill of Lading for a shipment arriving at St. is 12:00 noon, 2 working days before the vessel's Estimated Time of Arrival (ETA)."
What documentation is required for importing a vehicle from outside the EU to the UK?,A vehicle imported from outside the EU must comply with UK safety and environmental standards and undergo the Vehicle Approval Scheme.
What documentation is required from Australian shippers when shipping with CHERRY Shipping Line?,"Australian shippers must provide their full name and address, contact information (phone and email), and their Australian Business Number (ABN).  A P.O. Box alone is not acceptable."
What is the maximum free time allowed for reefer containers and when do electricity charges apply?,"The maximum free time for reefer containers is 3 days, and electricity charges apply from day 1."
What are the customs regulations regarding the storage of goods in a Free Trade Zone (FTZ) managed by CHERRY shipping line?,"Goods can be stored in an FTZ without customs duties and GST for up to 14 days. However, controlled goods require proper licenses even within an FTZ. Goods remaining beyond the 14-day period may be subject to duties and GST."
What tax information is required for both shippers and consignees based in Vietnam when shipping with CHERRY shipping line?,Vietnam-based shippers and consignees must provide their tax code.
Are there specific payment terms for shipments arriving at certain Indonesian ports?,"Yes, specific payment terms apply for certain Indonesian ports as detailed in a previous artifact."
What is required for consignee details when shipping to Korea?,"For Korea-bound shipments, consignee details must include a full name and complete address, contact information (phone number and email address), and a Business Registration Number. Additionally, either the consignee or the notify party must have an address in Korea."
What is the document cutoff time for submitting an Original Bill of Lading to CHERRY shipping line?,"The document cutoff time for submitting an Original Bill of Lading is 12:00 noon, two working days before the vessel's estimated time of arrival."
What are the normal working hours for the CHERRY Shipping Line Thailand office?,"The normal working hours for the CHERRY Shipping Line Thailand office are Monday to Friday, 08:00 - 17:00."
What are the mandatory contact details required for both shipper and consignee when shipping with CHERRY shipping line?,"For both shipper and consignee, a mandatory email address and a phone number with the country and area code are required."
What regulations govern waste shipments to Belgium?,"Waste shipments to Belgium are subject to strict regulations and prior notification procedures, and must comply with the EU Waste Shipment Regulation."
Are there specific regulations for returning Thai citizens shipping personal effects and household goods?,"Yes, special regulations apply for returning Thai citizens shipping personal effects and household goods."
What are the payment terms for non-credit customers shipping with CHERRY?,Non-credit customers must make payment before the Bill(s) of Lading are issued and/or the cargo is released.
"What is the required format for the consignee field on a ""To Order"" Bill of Lading issued by CHERRY shipping line?","For ""To Order"" Bills of Lading, the consignee field must state ""TO ORDER OF [Bank Name]"""
What expedited customs clearance procedures are available for perishable goods shipped through CHERRY shipping line?,CHERRY offers expedited clearance procedures for certain perishable goods.
What documentation is required for shipping personal effects and household goods to the US?,"Shipping personal effects and household goods to the US requires a detailed inventory list, a valuation form, and a copy of the shipper's passport or government-issued ID. These shipments are also subject to US Customs inspection."
Are shipments between EU countries subject to customs formalities when using CHERRY shipping line?,"No, shipments between EU countries are considered intra-EU movements and are not subject to customs formalities when using CHERRY shipping line."
Are phytosanitary certificates required for all shipments to Canada?,"No, phytosanitary certificates are only required for certain plant-based products being shipped to Canada."
What tax identification number is required for Indonesian shippers when shipping with CHERRY Shipping Line?,Indonesia-based shippers need to provide their NPWP (Nomor Pokok Wajib Pajak).
What information is required for Japan-based shippers and consignees when shipping with CHERRY?,"Japan-based shippers and consignees must provide their full name, complete address, phone number, email address, and Japanese Corporate Number."
What is the maximum gross weight allowed for a 40' container shipped with CHERRY shipping line?,"The maximum gross weight allowed for a 40' container shipped with CHERRY is 30,480 kg."
What are the import restrictions on used machinery and second-hand medical devices in China?,Used machinery and second-hand medical devices require special approval for import into China.
What packaging details are required for shipments by CHERRY shipping line?,"Both outer and inner packaging details must be provided, including the type of packaging (e.g., cartons, pallets, drums), the number of pieces per package type, and the total number of packages.  ""Pallets"" alone is not considered sufficient packaging information. For containerized cargo, the container number(s), seal number(s), container size, and type must also be provided."
What are the regular working hours for customs offices in the Netherlands?,"Customs offices in the Netherlands typically operate from Monday to Friday, 08:00 to 17:00."
What is the maximum gross weight allowed for a 40' container shipped by CHERRY?,"The maximum gross weight allowed for a 40' container shipped by CHERRY is 30,480 kg."
What are the special requirements for importing vehicles into Malaysia?,The import of used vehicles is restricted and requires approval from the Ministry of International Trade and Industry (MITI). New vehicles must meet Malaysian safety and emission standards and require special permits from the Road Transport Department (JPJ).
What are the payment terms for reefer imports to Australia when the Merchant's Representative is an Australian party?,Freight collect is permitted for reefer imports to Australia when the Merchant's Representative is an Australian party.
What documentation is required for shipping dangerous goods with CHERRY shipping line in Thailand?,"For dangerous goods shipments with CHERRY in Thailand, you need a Dangerous Goods Declaration, a Safety Data Sheet (SDS), and to ensure proper UN packaging and labeling."
What are the specific regulations regarding the import of used vehicles into Turkey?,"Import of used vehicles into Turkey is subject to specific regulations, and new vehicles must meet Turkish safety and emission standards. Special documentation is required for all vehicle imports."
What special customs procedures apply to goods destined for Philippine Economic Zone Authority (PEZA) zones?,"Goods destined for PEZA zones can be stored, processed, or re-exported with tax incentives."
What documentation is required for all shipments to Qatar?,A Certificate of Origin authenticated by the Chamber of Commerce in the country of origin is required for all shipments to Qatar.
"For shipments using the WW connection NLRTM-WW-BEANR or BEANR-WW-NLRTM, how is the Destination Logistics Fee (DLF) determined?","For shipments with the WW connection NLRTM-WW-BEANR or BEANR-WW-NLRTM, the Destination Logistics Fee (DLF) follows the SEA charge."
What phytosanitary requirements are there for agricultural products shipped with CHERRY shipping line?,Phytosanitary certificates may be required for plants and plant products.
What contact information is required for shippers when submitting documentation to CHERRY shipping line for shipments to Brazil?,Shippers must provide a phone number and an email address.
What are the maximum gross weights allowed for 20' and 40' containers shipped by CHERRY?,"The maximum gross weight for 20' containers is 24,000 kg, and the maximum gross weight for 40' containers is 30,480 kg. Overweight containers require special approval and may incur additional charges."
What is the maximum gross weight allowed for a 40' container shipped by CHERRY?,"The maximum gross weight for a 40' container shipped by CHERRY is 30,480 kg."
What contact information is required for both shipper and consignee details when shipping to Turkey through CHERRY Shipping Line?,"Both shipper and consignee details require a full name, complete address, phone number, and email address."
What is the document cut-off time for original Bills of Lading for shipments handled by CHERRY shipping line?,"The document cut-off time for original Bills of Lading is 12:00 noon, 2 working days before the vessel's estimated time of arrival (ETA)."
What are the specific requirements for wood packaging when shipping with CHERRY?,"All wood packaging must comply with ISPM 15 regulations and a fumigation certificate must be provided. The packaging should be marked with the IPPC logo, the two-letter ISO country code, a unique number, and the treatment type."
What documentation is required for shipments of Dangerous Goods to Chile by CHERRY shipping line?,A Dangerous Goods Declaration (in Spanish) and Safety Data Sheets (SDS) in Spanish are required for shipments of Dangerous Goods to Chile.
What are the specific regulations for shipping Class 7 (Radioactive Materials) with CHERRY shipping line?,Class 7 (Radioactive Materials) are subject to approval from Singapore's National Environment Agency.
What languages must shipping documents be in when importing goods into Qatar?,All shipping documents must be in Arabic or English.
What documentation is required for customs clearance in Chile according to CHERRY shipping line?,"Original commercial invoice, packing list, and bill of lading are required for customs clearance in Chile."
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight allowed for a 40' container is 30,480 kg."
What documentation is required for customs clearance of imports into Djibouti?,"Customs clearance in Djibouti must be handled by a licensed customs broker and requires the following documents: Commercial Invoice, Packing List, Bill of Lading, Import License (if applicable), and Certificate of Origin (if applicable)."
"According to CHERRY shipping line's compliance requirements, what contact information is mandatory for the notify party?","For the notify party, a mandatory email address and a phone number with the country and area code are required."
What special regulations apply to reefer containers carrying food products when shipping with CHERRY?,Reefer containers carrying food products may require approval from the Agri-Food & Veterinary Authority (AVA).
What are the required HS codes for shipments to Russia according to CHERRY shipping line?,10-digit HS codes are required for all shipments to Russia as per Russian Customs regulations.
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight for a 40' container is 30,480 kg. Overweight containers require special approval and may incur additional charges."
What happens to unclaimed cargo after the 15-day period stipulated by CHERRY shipping line?,"Unclaimed cargo will be transferred to a General Order (G.O.) warehouse after the 15-day period, where transfer fees and storage charges will be applied."
What are the required documents for shipments to/from Singapore?,"Shipments to/from Singapore must be accompanied by a Bill of Lading (Original and 3 copies), a Commercial Invoice, a Packing List, and a Certificate of Origin (if applicable). Any other documents required by the shipper or consignee must also be included."
"For shipments to/from China, what contact information should be used for queries or clarifications?",Queries or clarifications regarding shipments to/from China should be directed to the CHERRY Shipping Line China Office. The detailed contact information for the office is provided in the document.
"According to CHERRY shipping line's requirements, what is the minimum information needed for a notify party?","The notify party requires a full name, complete address, a telephone or fax number, and an email address. A PO box alone is not acceptable."
Do all shipping documents need to be in German or English for shipments to Germany with CHERRY shipping line?,"Yes, all shipping documents must be in German or English."
What packaging details are required for containerized cargo according to CHERRY shipping line's compliance requirements?,"For containerized cargo, CHERRY shipping line requires the container number(s), seal number(s), container size, and type."
What is the typical free time allowance for picking up an import container after discharge at a CHERRY shipping line terminal?,"Typically, importers have 4-5 days of free time to pick up their containers after discharge, though this can vary depending on the specific terminal policies."
What information is required for Japan-based shippers when providing details for a shipment with CHERRY shipping line?,"Japan-based shippers must provide their full name, complete address, phone number, email address, and Japanese Corporate Number."
What are the specific documentation requirements for shipping dangerous goods to Chile with CHERRY shipping line?,"When shipping dangerous goods to Chile with CHERRY, a Dangerous Goods Declaration (in Spanish) and Safety Data Sheets (SDS) in Spanish are required."
[Your generated question],"[Your generated answer]


Text: 1 Bill of Lading (B/L) Types • Original Bill of Lading (OBL) • Sea Waybill (SWB) • Electronic Bill of Lading (e-B/L) accepted and encouraged for faster processing 12 Shipper Details • Full name and complete address required • Contact information:  o Phone number (mandatory) o Email address (mandatory) • CVR number (Central Business Register) required for Denmark-based shippers 1.3 Consignee Details • Full name and complete address required • Contact information:  o Phone number (mandatory) o Email address (mandatory) • CVR number required for Denmark-based consignees • For personal imports, full name and CPR number (personal identification number) or passport number required 1.4 Notify Party Details • Full name and complete address required • Contact information:  o Phone number (mandatory) o Email address (mandatory) 1. [/INST]
Question: What identification number is required for Denmark-based shippers when providing their details?
Answer: Denmark-based shippers need to provide their CVR number (Central Business Register)."
What are the demurrage charges for a 40' dry container in Russia after the free time of 7 days?,Demurrage charges for a 40' dry container in Russia are USD 60 per day for days 8-14 and USD 180 per day for day 15 onwards.
What documentation is required for shipping dangerous goods with CHERRY shipping line to Turkey?,A Dangerous Goods Declaration (in Turkish and English) and a Safety Data Sheet (SDS) in Turkish and English are required.
What is the maximum cargo weight allowed in a 40' reefer container according to CHERRY shipping line's regulations?,The maximum cargo weight allowed in a 40' reefer container is 29.5 MT.
What is the required level of detail for cargo descriptions when shipping with CHERRY to Chile?,"A detailed and accurate description of goods in Spanish is mandatory. Generic terms are not accepted. The description must include the precise commodity, the number of packages, and the type of packages. For food products, ingredient specifics are also required."
What is the requirement for container weight verification before loading a shipment with CHERRY shipping line?,Verified Gross Mass (VGM) must be provided before container loading as per SOLAS regulations.
What documentation is required for customs clearance when importing goods into Thailand?,"Customs clearance in Thailand requires a Commercial Invoice, Packing List, Bill of Lading, and an Import License and Certificate of Origin if applicable."
What is the free time for import cargo at the port of Djibouti?,The free time for import cargo at the port of Djibouti is 7 calendar days from the date of discharge.
What are the FDA requirements for importing food shipments into the US?,"Food shipments to the US may require Prior Notice, filed between 15 days and 8 hours before arrival. Additionally, food facilities must be registered with the FDA."
Are used vehicles allowed to be imported into China?,The import of used vehicles is generally prohibited in China.
Does CHERRY shipping line offer expedited customs clearance for perishable goods imported into the United States?,"Yes, CHERRY offers expedited customs clearance procedures for certain perishable goods imported into the US."
What is the maximum cargo weight allowed for a 40' container according to CHERRY shipping line?,The maximum cargo weight allowed for a 40' container is 26 tons.
What level of detail is required when describing the cargo for a CHERRY shipping line manifest?,"A detailed and accurate description of goods is mandatory, including the precise commodity, the number and type of packages, and for dangerous goods, both inner and outer packaging details along with the CAS number, UN number, and hazard class. Vague terms like ""Said to Contain"" are not permitted."
What is the maximum gross weight allowed for a 40' container shipped by CHERRY shipping line?,"The maximum gross weight allowed for a 40' container is 30,480 kg."
What are the customs duty and GST implications for goods stored in a Free Trade Zone (FTZ) for longer than 14 days?,Goods remaining in a FTZ beyond 14 days may be subject to customs duties and GST.
What languages are accepted for shipping documents when sending goods to Germany via CHERRY shipping line?,"Shipping documents must be in German or English.

Question: When might a Certificate of Origin be required for a shipment to Germany through CHERRY?
Answer: A Certificate of Origin may be required for certain shipments to Germany and must be authenticated by the Chamber of Commerce in the country of origin.


Let me know if you would like me to generate more question-answer pairs based on the text!"
What is the maximum allowable value for personal effects or household goods shipments by CHERRY shipping line?,"The maximum value for personal effects or household goods shipments is USD 3,000 per shipment."
What information is required for the country of origin label on a shipment?,The country of origin label should clearly indicate the country where the goods were manufactured or produced.
What are the language requirements for labeling imported goods to Malaysia?,All imported goods to Malaysia must be labeled in Bahasa Malaysia or English.
What is the required tax identification number for Indonesia-based shippers and consignees when shipping with CHERRY?,Indonesia-based shippers and consignees require an NPWP (Nomor Pokok Wajib Pajak).
"When shipping personal effects to a country requiring special documentation, what documents are needed besides a detailed inventory list?",A valuation form and a copy of the shipper's passport or government-issued ID are also required.
"What are the specific compliance requirements for shipping goods to the Kingdom of Morocco according to the CHERRY shipping line?]

[","To find the specific compliance requirements for shipping goods to the Kingdom of Morocco according to the CHERRY shipping line, you would need to consult the documentation titled ""CHERRY Shipping Line: Kingdom of Morocco - Requirements and Restrictions"". ]"
What are the gate operation hours at Novorossiysk Port?,"Gate operations at Novorossiysk Port are from 08:00 to 20:00 on Monday to Friday, 08:00 to 16:00 on Saturday, and closed on Sunday and Public Holidays."
Can a shipper request printed bills of lading to be delivered at the destination port when shipping with CHERRY?,"Yes, CHERRY accepts requests for printed bills of lading to be delivered at the destination port. However, additional fees may apply. The original bill of lading must be surrendered upon cargo delivery, or a Letter of Indemnity must be provided."
What are the required documents for shipping dangerous goods with CHERRY shipping line to Chile?,A Dangerous Goods Declaration (in Spanish) and Safety Data Sheets (SDS) in Spanish are required.
What is the contact email address for CHERRY Shipping Line's Taiwan office regarding shipments to/from Taiwan?,The contact email address is not provided in the text.
What are the gate operation hours at Chornomorsk Port on a Saturday?,Gate operations at Chornomorsk Port are open from 08:00 to 16:00 on Saturdays.
What is the free time allowance for dry import containers at PSA Singapore when using the CHERRY shipping line?,The free time allowance for dry import containers at PSA Singapore using the CHERRY shipping line is 4 days.
What language descriptions are required for the cargo description when shipping to Indonesia?,Detailed and accurate descriptions of the goods are required in both Indonesian and English.
What regulations govern the acceptance and transport of dangerous goods by CHERRY shipping line in Kenya?,The acceptance and transport of dangerous goods by CHERRY shipping line in Kenya are subject to IMDG regulations and Kenyan regulations on dangerous goods.
What types of goods are prohibited from being loaded onto CHERRY vessels?,"Tobacco, alcoholic beverages, and veterinary goods are not allowed to be loaded.

Question: Besides the standard documentation, what else is required for shipments with a ""collect"" payment term?

Answer: The Consignee, Notify party, or payer collecting the shipment must sign a confirmation acknowledging responsibility for any additional costs incurred. The match code must also have an AR-Account with credit for collect shipments.  

Let me know if you would like me to generate more questions and answers based on the provided text!"
What are the import restrictions on vehicles when shipping to Thailand?,"The import of used vehicles is restricted, while new vehicles must comply with Thai safety and emission standards. Special documentation is required for all vehicle imports."
"What format should the consignee field utilize when a ""To Order"" consignee is required for a shipment to Brazil?","The consignee field should be formatted as ""TO ORDER OF [Bank Name]""  For example, ""TO ORDER OF BANCO DO BRASIL S.A."""
What specific documentation is required for shipping dangerous goods with CHERRY shipping line to Japan?,"For dangerous goods shipments to Japan, a Dangerous Goods Declaration (in Japanese) and Safety Data Sheets (SDS) in Japanese are required."
What currency is preferred for local charges when shipping with CHERRY shipping line to Turkey?,Turkish Lira (TRY) is the preferred currency for local charges.
What special documentation is required for vehicle imports to Djibouti?,"The specific documentation required for vehicle imports to Djibouti is not detailed in the provided text. It mentions that ""Special documentation required for vehicle imports"" but does not list the documents."
What is the minimum advance notice required for submitting an advance manifest for import shipments with CHERRY shipping line?,A minimum of 24 hours before the vessel's arrival is required for submitting an advance manifest for import shipments.
What documentation is required for shipping dangerous goods with CHERRY shipping line?,A Dangerous Goods Declaration (in Danish or English) and Safety Data Sheets (SDS) in Danish or English are required.
What documentation is required for customs clearance of shipments arriving in South Africa?,"Customs clearance in South Africa must be handled by a registered Clearing Agent and requires the following documents: Commercial Invoice, Packing List, Bill of Lading, Import Permit (if applicable), and Certificate of Origin (if applicable)."
What are the customs procedures applicable to goods destined for Philippine Economic Zone Authority (PEZA) zones?,"Goods destined for PEZA zones are subject to special customs procedures that allow for storage, processing, or re-export with tax incentives."
What types of Bills of Lading are accepted for shipments to Saudi Arabia by CHERRY Shipping Line?,"CHERRY Shipping Line accepts Original Bills of Lading (OBL), Sea Waybills (SWB), and Electronic Bills of Lading (e-B/L) subject to Saudi Arabia's electronic transaction laws."
What payment terms are available for shipments to the Netherlands with CHERRY shipping line?,"Both prepaid and collect shipments are accepted, but freight collect shipments require prior approval from CHERRY."
What contact information is mandatory for both shipper and consignee details when submitting documentation to CHERRY shipping line?,Phone number with country and area code and email address are mandatory for both shipper and consignee details.
"When shipping vehicles to Australia, what additional documentation is required besides standard shipping documents?","When shipping vehicles to Australia, an import approval from the Department of Infrastructure, Transport, Regional Development and Communications is required. Vehicles must also meet Australian Design Rules and emission standards, and an asbestos-free declaration is mandatory."
What documentation is required for dangerous goods shipments from Brazil to be accepted by CHERRY shipping line?,"Dangerous goods shipments require a Material Safety Data Sheet (MSDS) in Portuguese or English, a FISPQ (Ficha de Informação de Produto Químico), a Ficha de Emergência (Anexo VIII da NR 29), and a Declaração de Mercadorias Perigosas (Anexo VII da NR 29). The Dangerous Goods Declaration must be provided 72 hours before vessel arrival.  All shipments must comply with IMDG regulations."
What are the required documents for shipping dangerous goods with CHERRY shipping line to China?,A Dangerous Goods Declaration (in Chinese) and Safety Data Sheets (SDS) in Chinese are required for shipping dangerous goods.
What documentation is required for shipping dangerous goods with CHERRY shipping line to Vietnam?,"For dangerous goods shipments to Vietnam, a Dangerous Goods Declaration (in Vietnamese and English) and a Safety Data Sheet (SDS) in Vietnamese and English are required."
What is the contact email address for CHERRY Shipping Line's Australia office?,The contact email address for CHERRY Shipping Line's Australia office is [Insert email address].
What level of detail is required when describing cargo for shipments with CHERRY shipping line to Chile?,"A detailed and accurate description of goods in Spanish is mandatory. Generic terms are not accepted. The description must include the precise commodity, the number of packages, and the type of packages. For food products, specific ingredient details are also required."
What is the minimum lead time required for advance manifest submission for both import and transit shipments with CHERRY shipping line?,The minimum lead time for advance manifest submission is 24 hours before the vessel's arrival for both import and transit shipments.
What documentation is required for shipping dangerous goods with CHERRY shipping line to Malaysia?,"For dangerous goods shipments to Malaysia, a Dangerous Goods Declaration, a Safety Data Sheet (SDS), and compliance with IMDG regulations and Malaysia's regulations on dangerous goods are required."
Does CHERRY shipping line require advance notification for all shipments to Qatar?,"No, advance notification and approval are only required for certain commodities."
What is the minimum advance notice required for submitting a manifest for import shipments with CHERRY shipping line?,A minimum of 24 hours before the vessel's arrival is required for submitting a manifest for import shipments.
What information is required for the packaging details when shipping with CHERRY shipping line?,"Detailed packaging information for both outer and inner packaging is required. This should include the number of packages and the type of packaging used. For containerized cargo, the container number(s), seal number(s), container size, and type must also be provided."
What contact information is available for inquiries regarding shipments to or from Germany?,"You can reach CHERRY Shipping Line's Germany office at the provided address, phone number, and email address. For 24/7 emergencies, use the provided emergency number. The Customs Liaison Officer's contact details are also available."
What specific requirements and restrictions apply to shipments to the Kingdom of Morocco by CHERRY Shipping Line?,"To determine the specific requirements and restrictions for shipments to the Kingdom of Morocco, you would need to refer to the ""CHERRY Shipping Line: Kingdom of Morocco - Requirements and Restrictions"" documentation."
What expedited customs clearance procedures are available for perishable goods shipped through CHERRY shipping line?,CHERRY offers expedited clearance procedures for certain perishable goods.
What is the required lead time for submitting an Entry Summary Declaration (ENS) for goods being shipped to the UK via container?,The Entry Summary Declaration (ENS) must be submitted at least 24 hours before loading for container shipments to the UK.
What are the emission standards that new vehicles imported to Indonesia must comply with?,New vehicles imported to Indonesia must comply with Indonesian emission standards and obtain approval from the Ministry of Industry.
What are the customs document processing hours at ports in Ukraine on Saturdays?,"Customs document processing at ports in Ukraine is available from 10:00 to 15:00 on Saturdays, with limited services."
What are the exceptions to the general prohibition on importing used vehicles into Argentina?,Returning Argentinean residents who have lived outside the country for more than two years (one car per person) and classic or antique vehicles over 30 years old are exempt from the general prohibition.
What documents are required for customs clearance of goods imported into Tanzania?,"Customs clearance in Tanzania requires a Commercial Invoice, Packing List, Bill of Lading, Import Declaration Form (IDF), Pre-arrival Declaration (PAD), Certificate of Conformity (CoC) if applicable, and Certificate of Origin (if applicable)."
What is the required identification number for Denmark-based shippers when submitting documentation to CHERRY shipping line?,Denmark-based shippers need to provide their CVR number (Central Business Register).
What is the maximum gross weight allowed for a 40' container shipped with CHERRY shipping line?,"The maximum gross weight for a 40' container shipped with CHERRY is 30,480 kg."
What type of packaging details are required for shipments by CHERRY shipping line?,"Both outer and inner packaging details must be provided, including the type of packaging, number of pieces per package type, and the total number of packages."
What type of import license is required for general goods in Indonesia?,General goods in Indonesia require an APIU (Izin Impor Untuk Umum) import license.
What are the required documents for shipping dangerous goods with CHERRY shipping line to China?,A Dangerous Goods Declaration (in Chinese) and Safety Data Sheets (SDS) in Chinese are required for shipping dangerous goods to China.
Will customs operations in Russia be open during Defender of the Fatherland Day on February 23rd?,"Customs operations in Russia are typically closed on public holidays, including Defender of the Fatherland Day."
What type of Bill of Lading is accepted by CHERRY Shipping Line for shipments to Argentina?,Only Original Bill of Lading (OBL) is accepted. Sea Waybills (SWB) and Telex Release are not accepted.
What is the maximum gross weight allowed for a 40' container when shipping with CHERRY?,"The maximum gross weight for a 40' container is 30,480 kg.  Overweight containers require special approval and may incur additional charges."
Are there specific labeling requirements for alcohol and tobacco imports into the UK?,"Yes, specific labeling requirements apply to alcohol and tobacco imports into the UK."
What documents are required for customs clearance of shipments arriving in South Africa?,"Customs clearance in South Africa must be handled by a registered Clearing Agent and requires the following documents: Commercial Invoice, Packing List, Bill of Lading, Import Permit (if applicable), and Certificate of Origin (if applicable)."
"What is the required import declaration for shipments to Australia valued over AUD 1,000?","A Full Import Declaration (FID) is required for shipments to Australia valued over AUD 1,000."
What documentation is required for customs clearance of shipments to Vietnam?,"Customs clearance for shipments to Vietnam must be handled by a licensed customs broker and requires documents such as a Commercial Invoice, Packing List, Bill of Lading, Import License (if applicable), and Certificate of Origin (if applicable)."
What advance notification is required for shipments of live animals to the UAE when using the CHERRY shipping line?,Shipments of live animals to the UAE require advance notification to CHERRY shipping line at least 48 hours prior to arrival.
Are there specific labelling requirements for importing alcohol and tobacco into the UK?,"Yes, specific labelling requirements apply to alcohol and tobacco imports into the UK."
What documentation is required for shipping dangerous goods with CHERRY shipping line to Malaysia?,A Dangerous Goods Declaration and a Safety Data Sheet (SDS) are required for shipping dangerous goods.
What are the working hours for Customs at Inland Container Depots (ICDs) in Russia?,"Customs at Inland Container Depots (ICDs) in Russia operate from Monday to Friday, between 9:00 AM and 6:00 PM. They are closed on Saturdays, Sundays, and Public Holidays."
What are the required documents for shipping dangerous goods with CHERRY shipping line to Japan?,"To ship dangerous goods to Japan with CHERRY, you need a Dangerous Goods Declaration in Japanese and Safety Data Sheets (SDS) also in Japanese."
What special regulations apply to returning Kenyan citizens importing personal effects and household goods?,Returning Kenyan citizens may be subject to specific regulations when importing personal effects and household goods.
What are the minimum requirements for the Place of Delivery box when shipping transit cargo through the Netherlands via land transport to another country?,The minimum requirements for the Place of Delivery box are the postal code and location.
What documentation is required for shipping personal effects and household goods to the U.S.?,"A detailed inventory list, a valuation form, and a copy of the shipper's passport or government-issued ID are required. These shipments are also subject to U.S. Customs inspection."
What type of documentation is required for the import of vehicles from outside the European Union to the UK?,Non-EU vehicles require the Vehicle Approval Scheme.
What are the regulations governing the shipment of food and agricultural products to South Africa using CHERRY shipping line?,"Shipments of food and agricultural products to South Africa are subject to regulations by the Department of Agriculture, Land Reform and Rural Development and may require additional certifications and laboratory analysis."
What is the deadline for submitting an Electronic Export Declaration (DU-E) for Brazilian exports using CHERRY shipping line?,The Electronic Export Declaration (DU-E) must be submitted 24 hours before vessel departure.
What type of delivery is prohibited by CHERRY shipping line?,CHERRY shipping line does not accept Door Deliveries or Inland Ramp Deliveries.
What type of company can be listed as the consignee on a shipment to the UAE according to CHERRY shipping line's requirements?,The consignee must be a company registered in the UAE.
What are the payment terms for shipments to the Netherlands?,Freight collect shipments to the Netherlands require prior approval.
Is a postal address including country required for both the shipper and the consignee when booking a shipment with CHERRY shipping line?,"Yes, a full postal address including the country is required for both the shipper and the consignee."
What documentation is needed when shipping personal effects and household goods with CHERRY shipping line?,A detailed inventory list and an owner's declaration of contents are required.
What special documentation is needed for the import of classic or collector vehicles to the UK?,The text provided does not specify what special documentation is needed for the import of classic or collector vehicles. It only mentions that such documentation is required.
"When providing consignee details for a shipment with CHERRY shipping line, what information is mandatory?","For consignee details, the full name, postal address including country, email address, and phone number with country and area code are all mandatory."
